Model,forecast_horizon,forecast_horizon_label,RMSE_raw,MAE_raw,R2_raw,Correlation_raw,Bias_raw,Mean_pred_raw,Mean_actual_raw,RMSE_log_incidence,MAE_log_incidence,R2_log_incidence,Correlation_log_incidence,Precision,Recall,Outbreak_F1_count_threshold,False_alarm_rate,Specificity,TP,TN,FP,FN,High_week_RMSE_raw,High_week_MAE_raw,High_week_Bias_raw,High_week_Underprediction_rate
City-week Pure LightGBM regressor,0,H+0,37.969304471576784,17.285678404914005,0.7378714097748802,0.9134382125558407,-9.276855167187504,43.95391406358173,53.23076923076923,0.14009173961186577,0.08549839445291406,0.8514408991172696,0.941870831080862,0.9523809523809523,1,0.975609756097561,0.011904761904761904,0.9880952380952381,20,83,1,0,73.3708884199072,50.628906434663755,-39.18024642289223,0.7407407407407407
City-week Pure LightGBM regressor,1,H+1,41.74361770061348,21.00042621739876,0.6831678261661116,0.8920975769909146,-12.26068931956852,40.97007991120071,53.23076923076923,0.1682760266403307,0.1116061554593654,0.7856523613602205,0.9083622097230145,0.95,0.95,0.9500000000000001,0.011904761904761904,0.9880952380952381,19,83,1,1,79.66720550850854,57.62084819594459,-46.85056985646213,0.7407407407407407
City-week Pure LightGBM regressor,2,H+2,41.86624807241725,21.798629749391676,0.6813035739004856,0.9016140054684637,-11.095719543125444,42.135049687643786,53.23076923076923,0.1704943789482379,0.11482745599593493,0.7799636985822221,0.9073821774451949,0.9,0.9,0.9,0.023809523809523808,0.9761904761904762,18,82,2,2,79.61472105066508,60.26609556238723,-48.93228795551072,0.7407407407407407
City-week Pure LightGBM regressor,3,H+3,48.18404869464751,23.71169372238168,0.577860796417784,0.8435531526375446,-14.283832523056716,38.94693670771251,53.23076923076923,0.1965921554308441,0.12546580291059295,0.7074456403335525,0.8723250873799503,0.9444444444444444,0.85,0.8947368421052632,0.011904761904761904,0.9880952380952381,17,83,1,3,92.39715092153403,67.50592123619109,-56.8647057187724,0.7407407407407407
City-week Pure LightGBM regressor,4,H+4,57.405389913124296,28.483857777053817,0.4008239431010324,0.8325273822913701,-23.706622554997544,29.524146675771686,53.23076923076923,0.24439452639932593,0.15340683029301336,0.547876422117594,0.8546651645746244,1,0.7,0.8235294117647058,0,1,14,84,0,6,110.99995360218368,84.38530348541171,-81.65339814443536,0.8888888888888888
City-week Pure LightGBM regressor,5,H+5,57.89310808919773,29.2880949016353,0.3905994520513303,0.7898467450811125,-18.556913470113287,34.67385576065595,53.23076923076923,0.24798137188113303,0.15770781723205207,0.5345078919637524,0.8069836054135877,0.8571428571428571,0.6,0.7058823529411764,0.023809523809523808,0.9761904761904762,12,82,2,8,111.32164619059739,84.56443368130603,-79.01256156446371,0.8888888888888888
City-week Pure LightGBM regressor,6,H+6,60.908394822093925,30.24943962287864,0.3254666653323405,0.8083060619301566,-19.2592542516433,33.971514979125935,53.23076923076923,0.260259480047614,0.16093174813206323,0.4872716616823418,0.8281561589805732,1,0.2,0.33333333333333337,0,1,4,84,0,16,117.73862434640931,90.21787111252003,-87.56015648763216,0.9259259259259259
City-week Pure LightGBM regressor,7,H+7,63.12344354571896,31.459471417164988,0.2755132055639413,0.7158273113088256,-22.483400194520183,30.74736903624905,53.23076923076923,0.27649311861231485,0.1719777362027479,0.4213141544324731,0.747420151434244,1,0.25,0.4,0,1,5,84,0,15,121.77623797159228,91.77731868545094,-89.28577700623123,0.8888888888888888
City-week Pure LightGBM regressor,8,H+8,71.34506660870808,39.0795219144409,0.07449876237222397,0.4811098331482148,-23.7092908381432,29.52147839262603,53.23076923076923,0.3392767781943078,0.22456782258457275,0.12867038235045714,0.45962936201680227,NA,0,NA,0,1,0,84,0,20,136.7599655118498,110.73111209266993,-108.85042323698573,0.9259259259259259
City-week Pure LightGBM regressor,9,H+9,73.64328834735508,42.77624393713216,0.01391250031765301,0.27337883017552034,-18.147772272353652,35.08299695841558,53.23076923076923,0.3584679635591028,0.2497246741645074,0.02730898749341326,0.2564914740252457,NA,0,NA,0,1,0,84,0,20,139.04169220646764,112.31087694405903,-109.26603798429304,0.9259259259259259
City-week Pure LightGBM regressor,10,H+10,74.44940571124711,47.72027216305398,-0.007793560629894003,0.12767772481584508,-8.462851995227041,44.76791723554219,53.23076923076923,0.3702415019314793,0.2820982233298506,-0.03763450201184604,0.11217188068954083,0,0,NA,0.023809523809523808,0.9761904761904762,0,82,2,20,135.52279497556054,109.52300047490232,-104.99374807784179,0.8888888888888888
City-week Pure LightGBM regressor,11,H+11,74.68820310672344,42.02970919022695,-0.014268949726270463,0.21345020994233604,-17.71296731399654,35.51780191677269,53.23076923076923,0.35706753995743495,0.24267150263345194,0.034894148690969407,0.23013283003885737,NA,0,NA,0,1,0,84,0,20,142.49446426212683,113.95094611289808,-113.12598294994125,0.9259259259259259
City-week Pure LightGBM regressor,12,H+12,71.84020193471433,43.82255485875693,0.061608214995114374,0.3191073830964622,-10.746589576979915,42.48417965378931,53.23076923076923,0.34332400431179777,0.2556902752784842,0.10775824336746342,0.33723538668990277,NA,0,NA,0,1,0,84,0,20,133.89467159263415,105.83391923106593,-102.28222498426356,0.8518518518518519
