forecast_horizon,forecast_horizon_label,final_feature_count,max_lags_kept_per_env_variable,reg_learning_rate,reg_num_leaves,reg_max_depth,reg_min_data_in_leaf,reg_feature_fraction,reg_bagging_fraction,reg_bagging_freq,reg_lambda_l1,reg_lambda_l2,reg_best_nrounds
0,H+0,57,2,0.02,31,4,8,0.8,0.9,1,0.1,1.5,55
1,H+1,57,2,0.02,31,4,8,0.8,0.9,1,0.1,1.5,51
2,H+2,57,2,0.03,31,4,8,0.85,0.85,1,0.05,1,38
3,H+3,57,2,0.02,31,4,8,0.8,0.9,1,0.1,1.5,57
4,H+4,57,2,0.03,31,4,8,0.85,0.85,1,0.05,1,37
5,H+5,57,2,0.02,31,4,8,0.8,0.9,1,0.1,1.5,55
6,H+6,57,2,0.02,31,4,8,0.8,0.9,1,0.1,1.5,53
7,H+7,57,2,0.02,31,4,8,0.8,0.9,1,0.1,1.5,52
8,H+8,57,2,0.03,31,4,8,0.85,0.85,1,0.05,1,36
9,H+9,57,2,0.03,31,4,8,0.85,0.85,1,0.05,1,35
10,H+10,57,2,0.05,15,3,8,0.85,0.85,1,0.05,1,22
11,H+11,57,2,0.05,15,3,8,0.85,0.85,1,0.05,1,21
12,H+12,57,2,0.02,31,4,8,0.8,0.9,1,0.1,1.5,52
