forecast_horizon,forecast_horizon_label,final_feature_count,selected_keep_per_var,reg_learning_rate,reg_num_leaves,reg_min_data_in_leaf,reg_feature_fraction,reg_bagging_fraction,reg_bagging_freq,reg_nrounds
0,H+0,98,5,0.05,31,5,0.85,0.85,1,500
1,H+1,65,2,0.03,15,5,0.85,0.85,1,400
2,H+2,65,2,0.03,7,20,0.85,0.85,1,400
3,H+3,65,2,0.05,7,20,0.85,0.85,1,400
4,H+4,65,2,0.03,15,10,0.85,0.85,1,500
5,H+5,87,4,0.05,31,10,0.85,0.85,1,500
6,H+6,87,4,0.03,15,10,0.85,0.85,1,400
7,H+7,65,2,0.03,15,20,0.85,0.85,1,400
8,H+8,87,4,0.05,31,5,0.85,0.85,1,400
9,H+9,76,3,0.05,31,5,0.85,0.85,1,500
10,H+10,98,5,0.05,31,5,0.85,0.85,1,600
11,H+11,87,4,0.05,15,20,0.85,0.85,1,400
12,H+12,98,5,0.03,31,10,0.85,0.85,1,600
